02-CAR (Cordillera Administrative Region),IFUGAO,AGUINALDO,AWAYAN,ALL LOTS,Along National Road - Lower Awayan-Hagang-Alaiyan-Bugallo,RR-1,310.00
02-CAR (Cordillera Administrative Region),IFUGAO,AGUINALDO,AWAYAN,ALL LOTS,Along Provincial Road - Provincial Roads,RR-1,268.00
02-CAR (Cordillera Administrative Region),IFUGAO,AGUINALDO,AWAYAN,ALL LOTS,Along Barangay Road - All Barangay Roads,RR-1,210.00
02-CAR (Cordillera Administrative Region),IFUGAO,AGUINALDO,AWAYAN,ALL LOTS,AlL Other Lots - Interior Lots,RR,180.00
02-CAR (Cordillera Administrative Region),IFUGAO,AGUINALDO,AWAYAN,ALL LOTS,Non-Contiguous Area (NCA),RR,148.00
02-CAR (Cordillera Administrative Region),IFUGAO,AGUINALDO,AWAYAN,ALL LOTS,Agricultural Lots - Riceland Irrigated,A1-1,74.00
02-CAR (Cordillera Administrative Region),IFUGAO,AGUINALDO,AWAYAN,ALL LOTS,Riceland Unirrigated,A2-1,37.00
02-CAR (Cordillera Administrative Region),IFUGAO,AGUINALDO,AWAYAN,ALL LOTS,Coconut Land,A4-1,27.00
02-CAR (Cordillera Administrative Region),IFUGAO,AGUINALDO,AWAYAN,ALL LOTS,Citrus Land,A5-1,45.00
02-CAR (Cordillera Administrative Region),IFUGAO,AGUINALDO,AWAYAN,ALL LOTS,Fishpond,A6-1,70.00
02-CAR (Cordillera Administrative Region),IFUGAO,AGUINALDO,AWAYAN,ALL LOTS,Cogon Land,A10,13.00
02-CAR (Cordillera Administrative Region),IFUGAO,AGUINALDO,AWAYAN,ALL LOTS,Banana Land,A14-1,63.00
02-CAR (Cordillera Administrative Region),IFUGAO,AGUINALDO,AWAYAN,ALL LOTS,Pineapple Land,A13-1,76.00
02-CAR (Cordillera Administrative Region),IFUGAO,AGUINALDO,AWAYAN,ALL LOTS,Pasture Land,A15,15.00
02-CAR (Cordillera Administrative Region),IFUGAO,AGUINALDO,AWAYAN,ALL LOTS,Corn Land,A16-1,29.00
02-CAR (Cordillera Administrative Region),IFUGAO,AGUINALDO,AWAYAN,ALL LOTS,Cacao,A19,15.00
02-CAR (Cordillera Administrative Region),IFUGAO,AGUINALDO,AWAYAN,ALL LOTS,Lanzones Land,A20-1,57.00
02-CAR (Cordillera Administrative Region),IFUGAO,AGUINALDO,AWAYAN,ALL LOTS,Rambutan Land,A22-1,54.00
02-CAR (Cordillera Administrative Region),IFUGAO,AGUINALDO,AWAYAN,ALL LOTS,Mango Land,A23-1,39.00
02-CAR (Cordillera Administrative Region),IFUGAO,AGUINALDO,AWAYAN,ALL LOTS,Camote / Cassava / Rootland,A25-1,26.00
02-CAR (Cordillera Administrative Region),IFUGAO,AGUINALDO,AWAYAN,ALL LOTS,Mineral Land,A31,35.50
02-CAR (Cordillera Administrative Region),IFUGAO,AGUINALDO,AWAYAN,ALL LOTS,Non Metallic Mineral Land,A32,23.00
02-CAR (Cordillera Administrative Region),IFUGAO,AGUINALDO,AWAYAN,ALL LOTS,Forest / Tree Plantation / Timberland,A36-1,20.00
02-CAR (Cordillera Administrative Region),IFUGAO,AGUINALDO,AWAYAN,ALL LOTS,Vegetable Land,A47-1,28.00
